district,compactness
AK-0,1
AL-1,0.18239999999999998
AL-2,0.28809999999999997
AL-3,0.3243
AL-4,0.2621
AL-5,0.2962
AL-6,0.21050000000000002
AL-7,0.20989999999999998
AR-1,0.21420000000000003
AR-2,0.3429
AR-3,0.1746
AR-4,0.35700000000000004
AZ-1,0.2731
AZ-2,0.539
AZ-3,0.2852
AZ-4,0.1741
AZ-5,0.6992
AZ-6,0.6072
AZ-7,0.6637000000000001
AZ-8,0.34659999999999996
AZ-9,0.3234
CA-1,0.37670000000000003
CA-2,0.2389
CA-3,0.2418
CA-4,0.4023
CA-5,0.3077
CA-6,0.34159999999999996
CA-7,0.6452
CA-8,0.35200000000000004
CA-9,0.5414
CA-10,0.4371
CA-11,0.35350000000000004
CA-12,0.7704000000000001
CA-13,0.6463
CA-14,0.3957
CA-15,0.4374
CA-16,0.3785
CA-17,0.6285000000000001
CA-18,0.47259999999999996
CA-19,0.40549999999999997
CA-20,0.4493
CA-21,0.2659
CA-22,0.2568
CA-23,0.24969999999999998
CA-24,0.2134
CA-25,0.314
CA-26,0.26170000000000004
CA-27,0.5045000000000001
CA-28,0.4079
CA-29,0.4236
CA-30,0.3909
CA-31,0.2236
CA-32,0.4686
CA-33,0.1833
CA-34,0.5242
CA-35,0.3507
CA-36,0.4073
CA-37,0.6306
CA-38,0.39549999999999996
CA-39,0.4702
CA-40,0.47869999999999996
CA-41,0.4647
CA-42,0.2262
CA-43,0.5595
CA-44,0.5149
CA-45,0.6038
CA-46,0.6145
CA-47,0.1484
CA-48,0.33340000000000003
CA-49,0.3605
CA-50,0.40020000000000006
CA-51,0.2933
CA-52,0.30010000000000003
CA-53,0.4782
CO-1,0.2328
CO-2,0.3407
CO-3,0.3911
CO-4,0.4032
CO-5,0.45039999999999997
CO-6,0.1838
CO-7,0.32780000000000004
CT-1,0.2438
CT-2,0.501
CT-3,0.3257
CT-4,0.3373
CT-5,0.27440000000000003
DE-0,1
FL-1,0.4435
FL-2,0.2113
FL-3,0.6206
FL-4,0.3103
FL-5,0.1377
FL-6,0.4175
FL-7,0.5506
FL-8,0.40740000000000004
FL-9,0.6259
FL-10,0.6014
FL-11,0.4293
FL-12,0.48619999999999997
FL-13,0.7048000000000001
FL-14,0.5809000000000001
FL-15,0.44439999999999996
FL-16,0.6179
FL-17,0.5168
FL-18,0.5593
FL-19,0.31120000000000003
FL-20,0.2833
FL-21,0.4622
FL-22,0.3145
FL-23,0.4907
FL-24,0.5617
FL-25,0.3926
FL-26,0.1588
FL-27,0.3274
GA-1,0.3276
GA-2,0.4436
GA-3,0.4067
GA-4,0.4882
GA-5,0.6654000000000001
GA-6,0.4252
GA-7,0.4268
GA-8,0.21660000000000001
GA-9,0.4341
GA-10,0.4165
GA-11,0.39549999999999996
GA-12,0.3025
GA-13,0.2409
GA-14,0.38549999999999995
HI-1,0.3936
HI-2,0.10980000000000001
IA-1,0.271
IA-2,0.3312
IA-3,0.4829
IA-4,0.46490000000000004
ID-1,0.2602
ID-2,0.42619999999999997
IL-1,0.2706
IL-2,0.4542
IL-3,0.3147
IL-4,0.1317
IL-5,0.22030000000000002
IL-6,0.19940000000000002
IL-7,0.23579999999999998
IL-8,0.2648
IL-9,0.2767
IL-10,0.335
IL-11,0.161
IL-12,0.303
IL-13,0.21969999999999998
IL-14,0.2029
IL-15,0.2721
IL-16,0.247
IL-17,0.2202
IL-18,0.2638
IN-1,0.498
IN-2,0.4852
IN-3,0.5699000000000001
IN-4,0.4727
IN-5,0.4188
IN-6,0.5296
IN-7,0.7506
