district,efficiency_gap
AK-0,null
AL-1,R1
AL-2,R1
AL-3,R1
AL-4,R1
AL-5,R1
AL-6,R1
AL-7,R1
AR-1,R1
AR-2,R1
AR-3,R1
AR-4,R1
AZ-1,N0
AZ-2,N0
AZ-3,N0
AZ-4,N0
AZ-5,N0
AZ-6,N0
AZ-7,N0
AZ-8,N0
AZ-9,N0
CA-1,R1
CA-2,R1
CA-3,R1
CA-4,R1
CA-5,R1
CA-6,R1
CA-7,R1
CA-8,R1
CA-9,R1
CA-10,R1
CA-11,R1
CA-12,R1
CA-13,R1
CA-14,R1
CA-15,R1
CA-16,R1
CA-17,R1
CA-18,R1
CA-19,R1
CA-20,R1
CA-21,R1
CA-22,R1
CA-23,R1
CA-24,R1
CA-25,R1
CA-26,R1
CA-27,R1
CA-28,R1
CA-29,R1
CA-30,R1
CA-31,R1
CA-32,R1
CA-33,R1
CA-34,R1
CA-35,R1
CA-36,R1
CA-37,R1
CA-38,R1
CA-39,R1
CA-40,R1
CA-41,R1
CA-42,R1
CA-43,R1
CA-44,R1
CA-45,R1
CA-46,R1
CA-47,R1
CA-48,R1
CA-49,R1
CA-50,R1
CA-51,R1
CA-52,R1
CA-53,R1
CO-1,N0
CO-2,N0
CO-3,N0
CO-4,N0
CO-5,N0
CO-6,N0
CO-7,N0
CT-1,D1
CT-2,D1
CT-3,D1
CT-4,D1
CT-5,D1
DE-0,null
FL-1,R1
FL-2,R1
FL-3,R1
FL-4,R1
FL-5,R1
FL-6,R1
FL-7,R1
FL-8,R1
FL-9,R1
FL-10,R1
FL-11,R1
FL-12,R1
FL-13,R1
FL-14,R1
FL-15,R1
FL-16,R1
FL-17,R1
FL-18,R1
FL-19,R1
FL-20,R1
FL-21,R1
FL-22,R1
FL-23,R1
FL-24,R1
FL-25,R1
FL-26,R1
FL-27,R1
GA-1,R2
GA-2,R2
GA-3,R2
GA-4,R2
GA-5,R2
GA-6,R2
GA-7,R2
GA-8,R2
GA-9,R2
GA-10,R2
GA-11,R2
GA-12,R2
GA-13,R2
GA-14,R2
HI-1,N0
HI-2,N0
IA-1,R1
IA-2,R1
IA-3,R1
IA-4,R1
ID-1,N0
ID-2,N0
IL-1,N0
IL-2,N0
IL-3,N0
IL-4,N0
IL-5,N0
IL-6,N0
IL-7,N0
IL-8,N0
IL-9,N0
IL-10,N0
IL-11,N0
IL-12,N0
IL-13,N0
IL-14,N0
IL-15,N0
IL-16,N0
IL-17,N0
IL-18,N0
IN-1,R1
IN-2,R1
IN-3,R1
IN-4,R1
IN-5,R1
IN-6,R1
IN-7,R1
IN-8,R1
IN-9,R1
KS-1,R1
KS-2,R1
KS-3,R1
KS-4,R1
KY-1,N0
KY-2,N0
KY-3,N0
KY-4,N0
KY-5,N0
KY-6,N0
LA-1,D1
LA-2,D1
LA-3,D1
LA-4,D1
LA-5,D1
LA-6,D1
MA-1,D1
MA-2,D1
MA-3,D1
MA-4,D1
MA-5,D1
MA-6,D1
MA-7,D1
MA-8,D1
MA-9,D1
MD-1,D1
MD-2,D1
MD-3,D1
MD-4,D1
MD-5,D1
MD-6,D1
MD-7,D1
MD-8,D1
ME-1,N0
ME-2,N0
MI-1,R2
MI-2,R2
MI-3,R2
MI-4,R2
MI-5,R2
MI-6,R2
MI-7,R2
MI-8,R2
MI-9,R2
MI-10,R2
MI-11,R2
MI-12,R2
MI-13,R2
MI-14,R2
MN-1,D3
MN-2,D3
