district_code,representative,representative_affiliation,state_affiliation,efficiency_gap,absolute_compactness,state_compactness,country_compactness,compactness_rank,redistricting_control,gerrymander_score,gerrymander_rank,num_districts
AK-0,Don Young,Republican,1,null,0.0463,0.0463,0.3493241379310344,1,null,0,354,1
AL-1,Bradley Byrne,Republican,5,R1,0.18239999999999998,0.2533571428571429,0.3493241379310344,49,RL,49,147,7
AL-2,Martha Roby,Republican,5,R1,0.28809999999999997,0.2533571428571429,0.3493241379310344,169,RL,43,199,7
AL-3,Mike Rogers,Republican,5,R1,0.3243,0.2533571428571429,0.3493241379310344,207,RL,41,212,7
AL-4,Robert B. Aderholt,Republican,5,R1,0.2621,0.2533571428571429,0.3493241379310344,127,RL,44,188,7
AL-5,Mo Brooks,Republican,5,R1,0.2962,0.2533571428571429,0.3493241379310344,181,RL,42,207,7
AL-6,Gary J. Palmer,Republican,5,R1,0.21050000000000002,0.2533571428571429,0.3493241379310344,75,RL,47,163,7
AL-7,Terri A. Sewell,Democrat,5,R1,0.20989999999999998,0.2533571428571429,0.3493241379310344,74,RL,47,163,7
AR-1,Eric A. "Rick" Crawford,Republican,4,R1,0.21420000000000003,0.272175,0.3493241379310344,81,DL,47,163,4
AR-2,J. French Hill,Republican,4,R1,0.3429,0.272175,0.3493241379310344,234,DL,39,230,4
AR-3,Steve Womack,Republican,4,R1,0.1746,0.272175,0.3493241379310344,45,DL,50,137,4
AR-4,Bruce Westerman,Republican,4,R1,0.35700000000000004,0.272175,0.3493241379310344,249,DL,39,230,4
AZ-1,Tom O’Halleran,Democrat,-1,N0,0.2731,0.43461111111111106,0.3493241379310344,144,II,0,354,9
AZ-2,Martha McSally,Republican,-1,N0,0.539,0.43461111111111106,0.3493241379310344,386,II,0,354,9
AZ-3,Raúl M. Grijalva,Democrat,-1,N0,0.2852,0.43461111111111106,0.3493241379310344,164,II,0,354,9
AZ-4,Paul A. Gosar,Republican,-1,N0,0.1741,0.43461111111111106,0.3493241379310344,44,II,0,354,9
AZ-5,Andy Biggs,Republican,-1,N0,0.6992,0.43461111111111106,0.3493241379310344,427,II,0,354,9
AZ-6,David Schweikert,Republican,-1,N0,0.6072,0.43461111111111106,0.3493241379310344,409,II,0,354,9
AZ-7,Ruben Gallego,Democrat,-1,N0,0.6637000000000001,0.43461111111111106,0.3493241379310344,423,II,0,354,9
AZ-8,Ruben Gallego,Democrat,-1,N0,0.34659999999999996,0.43461111111111106,0.3493241379310344,237,II,0,354,9
AZ-9,Kyrsten Sinema,Democrat,-1,N0,0.3234,0.43461111111111106,0.3493241379310344,206,II,0,354,9
CA-1,Doug LaMalfa,Republican,-25,R1,0.37670000000000003,0.4064377358490566,0.3493241379310344,266,II,0,354,53
CA-2,Jared Huffman,Democrat,-25,R1,0.2389,0.4064377358490566,0.3493241379310344,102,II,0,354,53
CA-3,John Garamendi,Democrat,-25,R1,0.2418,0.4064377358490566,0.3493241379310344,106,II,0,354,53
CA-4,Tom McClintock,Republican,-25,R1,0.4023,0.4064377358490566,0.3493241379310344,293,II,0,354,53
CA-5,Mike Thompson,Democrat,-25,R1,0.3077,0.4064377358490566,0.3493241379310344,193,II,0,354,53
CA-6,Doris O. Matsui,Democrat,-25,R1,0.34159999999999996,0.4064377358490566,0.3493241379310344,232,II,0,354,53
CA-7,Ami Bera,Democrat,-25,R1,0.6452,0.4064377358490566,0.3493241379310344,420,II,0,354,53
CA-8,Paul Cook,Republican,-25,R1,0.35200000000000004,0.4064377358490566,0.3493241379310344,242,II,0,354,53
CA-9,Jerry McNerney,Democrat,-25,R1,0.5414,0.4064377358490566,0.3493241379310344,387,II,0,354,53
CA-10,Jeff Denham,Republican,-25,R1,0.4371,0.4064377358490566,0.3493241379310344,323,II,0,354,53
CA-11,Mark DeSaulnier,Democrat,-25,R1,0.35350000000000004,0.4064377358490566,0.3493241379310344,245,II,0,354,53
CA-12,Nancy Pelosi,Democrat,-25,R1,0.7704000000000001,0.4064377358490566,0.3493241379310344,434,II,0,354,53
CA-13,Barbara Lee,Democrat,-25,R1,0.6463,0.4064377358490566,0.3493241379310344,422,II,0,354,53
CA-14,Jackie Speier,Democrat,-25,R1,0.3957,0.4064377358490566,0.3493241379310344,287,II,0,354,53
CA-15,Eric Swalwell,Democrat,-25,R1,0.4374,0.4064377358490566,0.3493241379310344,324,II,0,354,53
